sexe,age,poids_kg,taille_cm,imc,imc_categorie,objectif,niveau,seances_semaine,type_programme,intensite,split_musculaire
femme,61,54,171,18.5,normal,prise_masse,intermediaire,5,musculation,3,ppl
homme,50,106,190,29.4,surpoids,tonification,avance,5,mixte,2,push_pull
femme,58,60,174,19.8,normal,perte_poids,debutant,4,HIIT,2,full_body
homme,16,68,187,19.4,normal,tonification,intermediaire,3,mixte,2,haut_bas
homme,65,114,185,33.3,obesite,tonification,intermediaire,5,mixte,2,haut_bas
homme,34,68,190,18.8,normal,endurance,debutant,4,cardio_dominant,1,full_body
homme,35,99,169,34.7,obesite,perte_poids,avance,5,cardio_dominant,2,full_body
homme,44,67,190,18.6,normal,tonification,intermediaire,5,mixte,2,haut_bas
femme,61,96,151,42.1,obesite,perte_poids,intermediaire,3,cardio_dominant,2,full_body
femme,63,55,175,18.0,maigreur,perte_poids,avance,4,HIIT,3,full_body
homme,30,114,187,32.6,obesite,endurance,avance,5,cardio_dominant,4,full_body
homme,44,80,161,30.9,obesite,tonification,intermediaire,5,mixte,2,haut_bas
homme,52,63,177,20.1,normal,prise_masse,debutant,4,musculation,3,push_pull
homme,23,113,172,38.2,obesite,endurance,intermediaire,4,cardio_dominant,3,full_body
femme,41,84,162,32.0,obesite,endurance,avance,4,cardio_dominant,4,full_body
femme,35,96,172,32.4,obesite,prise_masse,avance,5,musculation,3,ppl
femme,27,52,159,20.6,normal,perte_poids,debutant,4,HIIT,2,full_body
femme,40,81,154,34.2,obesite,tonification,avance,5,mixte,3,push_pull
homme,27,72,178,22.7,normal,prise_masse,intermediaire,5,musculation,3,ppl
homme,28,72,191,19.7,normal,endurance,debutant,4,cardio_dominant,1,full_body
femme,61,71,165,26.1,surpoids,tonification,avance,5,mixte,3,push_pull
homme,33,59,178,18.6,normal,perte_poids,debutant,3,HIIT,2,full_body
homme,23,120,191,32.9,obesite,tonification,avance,4,mixte,2,push_pull
femme,29,79,164,29.4,surpoids,perte_poids,avance,5,cardio_dominant,2,full_body
homme,38,88,188,24.9,normal,endurance,debutant,3,cardio_dominant,2,full_body
homme,26,109,182,32.9,obesite,prise_masse,debutant,4,musculation,3,push_pull
homme,54,90,182,27.2,surpoids,perte_poids,avance,4,cardio_dominant,2,full_body
femme,48,99,158,39.7,obesite,endurance,avance,4,cardio_dominant,4,full_body
femme,24,86,177,27.5,surpoids,perte_poids,intermediaire,5,cardio_dominant,1,full_body
homme,64,86,180,26.5,surpoids,prise_masse,avance,6,musculation,3,ppl
femme,56,49,164,18.2,maigreur,tonification,intermediaire,3,mixte,3,haut_bas
femme,36,76,180,23.5,normal,endurance,intermediaire,5,cardio_dominant,3,full_body
homme,50,63,182,19.0,normal,tonification,avance,5,mixte,2,push_pull
femme,34,65,158,26.0,surpoids,prise_masse,intermediaire,5,musculation,2,ppl
homme,22,60,163,22.6,normal,tonification,intermediaire,5,mixte,3,haut_bas
femme,26,99,179,30.9,obesite,perte_poids,debutant,4,cardio_dominant,1,full_body
femme,57,53,179,16.5,maigreur,prise_masse,avance,6,musculation,2,ppl
femme,21,61,161,23.5,normal,perte_poids,avance,5,HIIT,3,full_body
homme,43,84,179,26.2,surpoids,perte_poids,intermediaire,5,cardio_dominant,2,full_body
homme,24,64,190,17.7,maigreur,perte_poids,debutant,3,HIIT,2,full_body
femme,23,66,172,22.3,normal,perte_poids,debutant,4,HIIT,2,full_body
femme,62,50,162,19.1,normal,perte_poids,debutant,3,HIIT,2,full_body
femme,64,94,162,35.8,obesite,endurance,debutant,3,cardio_dominant,2,full_body
homme,44,76,160,29.7,surpoids,perte_poids,avance,5,cardio_dominant,3,full_body
homme,21,82,188,23.2,normal,tonification,avance,4,mixte,2,push_pull
homme,24,95,187,27.2,surpoids,tonification,intermediaire,3,mixte,2,haut_bas
homme,58,58,178,18.3,maigreur,prise_masse,avance,6,musculation,2,ppl
homme,47,85,163,32.0,obesite,tonification,intermediaire,4,mixte,2,haut_bas
femme,39,45,178,14.2,maigreur,perte_poids,avance,5,HIIT,3,full_body
femme,64,56,171,19.2,normal,endurance,avance,5,cardio_dominant,3,full_body
homme,32,56,164,20.8,normal,perte_poids,avance,4,HIIT,3,full_body
homme,65,119,178,37.6,obesite,tonification,avance,5,mixte,2,push_pull
femme,55,79,167,28.3,surpoids,perte_poids,avance,4,cardio_dominant,2,full_body
femme,25,58,179,18.1,maigreur,perte_poids,avance,5,HIIT,3,full_body
homme,19,85,187,24.3,normal,endurance,avance,4,cardio_dominant,4,full_body
femme,19,83,169,29.1,surpoids,perte_poids,intermediaire,4,cardio_dominant,2,full_body
homme,26,56,168,19.8,normal,perte_poids,debutant,4,HIIT,1,full_body
femme,65,92,154,38.8,obesite,prise_masse,intermediaire,5,musculation,3,ppl
homme,49,89,187,25.5,surpoids,perte_poids,intermediaire,3,cardio_dominant,2,full_body
homme,19,101,192,27.4,surpoids,tonification,intermediaire,4,mixte,1,haut_bas
homme,52,68,176,22.0,normal,endurance,debutant,3,cardio_dominant,2,full_body
homme,46,60,175,19.6,normal,perte_poids,debutant,4,HIIT,2,full_body
homme,30,108,195,28.4,surpoids,prise_masse,debutant,5,musculation,2,ppl
femme,23,68,168,24.1,normal,endurance,debutant,3,cardio_dominant,2,full_body
homme,65,91,189,25.5,surpoids,tonification,debutant,4,mixte,2,haut_bas
femme,52,63,156,25.9,surpoids,perte_poids,intermediaire,4,cardio_dominant,3,full_body
homme,62,80,191,21.9,normal,tonification,intermediaire,5,mixte,3,haut_bas
homme,30,58,186,16.8,maigreur,prise_masse,debutant,5,musculation,2,ppl
homme,22,94,184,27.8,surpoids,endurance,debutant,3,cardio_dominant,2,full_body
homme,61,73,163,27.5,surpoids,tonification,intermediaire,4,mixte,2,haut_bas
homme,63,113,183,33.7,obesite,tonification,avance,4,mixte,2,push_pull
homme,58,110,163,41.4,obesite,tonification,debutant,3,mixte,2,haut_bas
femme,63,98,172,33.1,obesite,endurance,intermediaire,4,cardio_dominant,3,full_body
femme,24,57,180,17.6,maigreur,prise_masse,debutant,4,musculation,2,push_pull
homme,23,107,180,33.0,obesite,tonification,intermediaire,5,mixte,2,haut_bas
homme,23,88,189,24.6,normal,tonification,intermediaire,3,mixte,2,haut_bas
femme,36,99,176,32.0,obesite,perte_poids,debutant,3,cardio_dominant,1,full_body
homme,59,61,192,16.5,maigreur,endurance,intermediaire,4,cardio_dominant,3,full_body
homme,22,86,188,24.3,normal,perte_poids,intermediaire,4,HIIT,3,full_body
homme,24,83,163,31.2,obesite,perte_poids,debutant,3,cardio_dominant,2,full_body
femme,20,61,168,21.6,normal,perte_poids,avance,4,HIIT,2,full_body
homme,23,97,165,35.6,obesite,tonification,debutant,3,mixte,1,haut_bas
homme,47,105,187,30.0,obesite,prise_masse,avance,5,musculation,3,ppl
femme,33,56,156,23.0,normal,prise_masse,intermediaire,5,musculation,2,ppl
homme,47,92,175,30.0,obesite,perte_poids,avance,5,cardio_dominant,1,full_body
femme,24,69,158,27.6,surpoids,perte_poids,debutant,4,cardio_dominant,1,full_body
homme,50,116,182,35.0,obesite,perte_poids,intermediaire,4,cardio_dominant,2,full_body
femme,36,46,155,19.1,normal,tonification,intermediaire,5,mixte,3,haut_bas
femme,65,67,166,24.3,normal,perte_poids,intermediaire,5,HIIT,2,full_body
homme,50,89,175,29.1,surpoids,perte_poids,debutant,3,cardio_dominant,2,full_body
homme,31,77,171,26.3,surpoids,tonification,intermediaire,5,mixte,2,haut_bas
femme,52,67,172,22.6,normal,perte_poids,avance,4,HIIT,3,full_body
homme,47,77,179,24.0,normal,tonification,avance,4,mixte,2,push_pull
homme,16,116,193,31.1,obesite,prise_masse,debutant,5,musculation,1,ppl
homme,19,96,171,32.8,obesite,prise_masse,intermediaire,4,musculation,2,push_pull
homme,39,64,183,19.1,normal,perte_poids,avance,5,HIIT,3,full_body
femme,62,55,154,23.2,normal,endurance,intermediaire,4,cardio_dominant,4,full_body
femme,60,80,172,27.0,surpoids,endurance,debutant,4,cardio_dominant,2,full_body
homme,27,71,178,22.4,normal,tonification,intermediaire,5,mixte,2,haut_bas
femme,55,65,169,22.8,normal,perte_poids,debutant,3,HIIT,2,full_body
homme,31,64,181,19.5,normal,tonification,debutant,4,mixte,1,haut_bas
homme,16,112,181,34.2,obesite,perte_poids,avance,5,cardio_dominant,2,full_body
homme,19,55,166,20.0,normal,endurance,intermediaire,4,cardio_dominant,3,full_body
femme,38,69,165,25.3,surpoids,prise_masse,intermediaire,6,musculation,2,ppl
femme,18,49,164,18.2,maigreur,prise_masse,debutant,5,musculation,2,ppl
femme,40,55,160,21.5,normal,perte_poids,debutant,3,HIIT,3,full_body
homme,43,58,190,16.1,maigreur,endurance,avance,4,cardio_dominant,4,full_body
femme,29,66,153,28.2,surpoids,prise_masse,debutant,4,musculation,2,push_pull
femme,19,51,157,20.7,normal,endurance,intermediaire,4,cardio_dominant,3,full_body
femme,43,45,161,17.4,maigreur,prise_masse,debutant,4,musculation,2,push_pull
femme,26,58,150,25.8,surpoids,prise_masse,debutant,5,musculation,1,ppl
femme,46,70,175,22.9,normal,perte_poids,intermediaire,4,HIIT,2,full_body
femme,27,69,167,24.7,normal,perte_poids,avance,5,HIIT,2,full_body
femme,44,61,151,26.8,surpoids,prise_masse,intermediaire,5,musculation,2,ppl
femme,58,89,174,29.4,surpoids,perte_poids,debutant,3,cardio_dominant,1,full_body
femme,19,80,157,32.5,obesite,tonification,avance,5,mixte,4,push_pull
femme,46,60,178,18.9,normal,tonification,avance,5,mixte,3,push_pull
homme,26,77,188,21.8,normal,prise_masse,debutant,4,musculation,3,push_pull
homme,28,110,165,40.4,obesite,perte_poids,intermediaire,5,cardio_dominant,2,full_body
femme,20,96,179,30.0,obesite,endurance,avance,4,cardio_dominant,4,full_body
femme,16,74,166,26.9,surpoids,endurance,intermediaire,5,cardio_dominant,3,full_body
femme,52,54,154,22.8,normal,perte_poids,intermediaire,5,HIIT,3,full_body
homme,50,91,166,33.0,obesite,perte_poids,avance,5,cardio_dominant,1,full_body
femme,54,81,165,29.8,surpoids,tonification,avance,5,mixte,3,push_pull
femme,59,83,169,29.1,surpoids,tonification,debutant,4,mixte,2,haut_bas
femme,33,75,173,25.1,surpoids,prise_masse,debutant,5,musculation,2,ppl
femme,60,76,176,24.5,normal,endurance,intermediaire,5,cardio_dominant,3,full_body
homme,33,96,188,27.2,surpoids,prise_masse,intermediaire,6,musculation,2,ppl
homme,63,107,173,35.8,obesite,prise_masse,intermediaire,5,musculation,3,ppl
femme,20,55,175,18.0,maigreur,perte_poids,avance,5,HIIT,4,full_body
femme,17,81,178,25.6,surpoids,prise_masse,avance,5,musculation,3,ppl
homme,19,113,162,43.1,obesite,perte_poids,debutant,4,cardio_dominant,2,full_body
femme,56,70,166,25.4,surpoids,endurance,intermediaire,3,cardio_dominant,3,full_body
homme,46,77,188,21.8,normal,endurance,intermediaire,5,cardio_dominant,3,full_body
femme,60,98,173,32.7,obesite,prise_masse,intermediaire,4,musculation,2,push_pull
femme,65,81,177,25.9,surpoids,perte_poids,debutant,3,cardio_dominant,1,full_body
homme,17,120,186,34.7,obesite,prise_masse,intermediaire,6,musculation,2,ppl
homme,32,83,160,32.4,obesite,prise_masse,avance,6,musculation,4,ppl
femme,45,67,177,21.4,normal,tonification,intermediaire,4,mixte,3,haut_bas
femme,48,45,153,19.2,normal,tonification,avance,5,mixte,3,push_pull
femme,20,75,153,32.0,obesite,endurance,avance,5,cardio_dominant,3,full_body
femme,57,90,170,31.1,obesite,endurance,intermediaire,4,cardio_dominant,3,full_body
homme,59,95,185,27.8,surpoids,perte_poids,avance,4,cardio_dominant,3,full_body
femme,41,71,179,22.2,normal,endurance,intermediaire,4,cardio_dominant,4,full_body
homme,58,115,174,38.0,obesite,endurance,avance,5,cardio_dominant,4,full_body
homme,24,115,166,41.7,obesite,prise_masse,intermediaire,6,musculation,2,ppl
homme,38,83,165,30.5,obesite,endurance,avance,4,cardio_dominant,5,full_body
femme,53,61,161,23.5,normal,tonification,intermediaire,4,mixte,3,haut_bas
homme,28,115,164,42.8,obesite,tonification,debutant,3,mixte,1,haut_bas
femme,25,100,151,43.9,obesite,endurance,intermediaire,3,cardio_dominant,2,full_body
femme,25,74,178,23.4,normal,tonification,avance,5,mixte,2,push_pull
homme,36,77,181,23.5,normal,perte_poids,intermediaire,5,HIIT,3,full_body
femme,26,94,174,31.0,obesite,endurance,debutant,3,cardio_dominant,2,full_body
homme,41,109,187,31.2,obesite,prise_masse,avance,6,musculation,2,ppl
femme,62,57,167,20.4,normal,perte_poids,debutant,4,HIIT,1,full_body
femme,56,45,171,15.4,maigreur,prise_masse,debutant,4,musculation,2,push_pull
femme,48,69,153,29.5,surpoids,endurance,debutant,4,cardio_dominant,2,full_body
homme,43,98,189,27.4,surpoids,endurance,intermediaire,5,cardio_dominant,2,full_body
femme,26,57,174,18.8,normal,tonification,intermediaire,4,mixte,3,haut_bas
homme,26,119,161,45.9,obesite,prise_masse,debutant,4,musculation,2,push_pull
homme,54,61,176,19.7,normal,tonification,avance,4,mixte,2,push_pull
homme,44,108,167,38.7,obesite,perte_poids,avance,5,cardio_dominant,2,full_body
femme,60,58,154,24.5,normal,tonification,avance,4,mixte,3,push_pull
homme,22,108,168,38.3,obesite,endurance,avance,4,cardio_dominant,4,full_body
homme,49,88,172,29.7,surpoids,tonification,debutant,3,mixte,2,haut_bas
femme,47,80,151,35.1,obesite,endurance,debutant,3,cardio_dominant,2,full_body
femme,58,45,150,20.0,normal,endurance,debutant,3,cardio_dominant,1,full_body
femme,20,77,174,25.4,surpoids,prise_masse,debutant,4,musculation,1,push_pull
homme,19,114,176,36.8,obesite,tonification,intermediaire,3,mixte,3,haut_bas
homme,63,109,180,33.6,obesite,endurance,intermediaire,3,cardio_dominant,3,full_body
homme,38,97,170,33.6,obesite,perte_poids,debutant,4,cardio_dominant,1,full_body
femme,27,66,176,21.3,normal,perte_poids,intermediaire,3,HIIT,3,full_body
femme,46,99,172,33.5,obesite,endurance,intermediaire,4,cardio_dominant,3,full_body
homme,22,75,163,28.2,surpoids,perte_poids,debutant,4,cardio_dominant,1,full_body
femme,65,69,169,24.2,normal,tonification,debutant,4,mixte,2,haut_bas
homme,44,107,167,38.4,obesite,tonification,intermediaire,3,mixte,2,haut_bas
femme,49,88,177,28.1,surpoids,perte_poids,avance,4,cardio_dominant,1,full_body
femme,31,91,171,31.1,obesite,perte_poids,intermediaire,4,cardio_dominant,2,full_body
femme,19,84,178,26.5,surpoids,prise_masse,avance,5,musculation,3,ppl
homme,64,64,170,22.1,normal,tonification,intermediaire,4,mixte,2,haut_bas
femme,51,59,166,21.4,normal,endurance,debutant,4,cardio_dominant,2,full_body
homme,21,112,188,31.7,obesite,perte_poids,intermediaire,4,cardio_dominant,2,full_body
homme,41,68,161,26.2,surpoids,tonification,avance,5,mixte,2,push_pull
homme,51,120,179,37.5,obesite,perte_poids,avance,4,cardio_dominant,2,full_body
femme,30,48,176,15.5,maigreur,endurance,intermediaire,4,cardio_dominant,3,full_body
femme,22,52,164,19.3,normal,endurance,avance,4,cardio_dominant,4,full_body
femme,60,68,166,24.7,normal,endurance,avance,4,cardio_dominant,4,full_body
homme,32,68,186,19.7,normal,tonification,debutant,3,mixte,2,haut_bas
femme,28,95,176,30.7,obesite,prise_masse,intermediaire,6,musculation,2,ppl
femme,53,88,176,28.4,surpoids,perte_poids,avance,4,cardio_dominant,3,full_body
femme,24,77,168,27.3,surpoids,tonification,avance,5,mixte,3,push_pull
homme,65,120,190,33.2,obesite,tonification,avance,4,mixte,2,push_pull
homme,48,96,184,28.4,surpoids,prise_masse,debutant,5,musculation,2,ppl
homme,44,92,181,28.1,surpoids,endurance,intermediaire,3,cardio_dominant,3,full_body
femme,56,80,173,26.7,surpoids,endurance,avance,4,cardio_dominant,4,full_body
femme,57,90,154,37.9,obesite,endurance,avance,4,cardio_dominant,4,full_body
femme,53,75,167,26.9,surpoids,perte_poids,intermediaire,5,cardio_dominant,1,full_body
femme,49,45,175,14.7,maigreur,endurance,intermediaire,3,cardio_dominant,3,full_body
homme,33,80,163,30.1,obesite,perte_poids,avance,4,cardio_dominant,1,full_body
femme,34,95,172,32.1,obesite,prise_masse,debutant,4,musculation,3,push_pull
homme,63,83,166,30.1,obesite,endurance,intermediaire,5,cardio_dominant,3,full_body
homme,40,103,163,38.8,obesite,endurance,avance,5,cardio_dominant,3,full_body
femme,28,61,173,20.4,normal,perte_poids,debutant,4,HIIT,3,full_body
femme,34,57,180,17.6,maigreur,prise_masse,avance,6,musculation,2,ppl
homme,40,70,192,19.0,normal,prise_masse,debutant,4,musculation,2,push_pull
femme,32,99,168,35.1,obesite,prise_masse,debutant,4,musculation,2,push_pull
homme,65,61,180,18.8,normal,perte_poids,debutant,4,HIIT,2,full_body
femme,30,78,160,30.5,obesite,perte_poids,avance,4,cardio_dominant,2,full_body
homme,21,106,194,28.2,surpoids,tonification,avance,5,mixte,2,push_pull
homme,29,92,183,27.5,surpoids,endurance,intermediaire,5,cardio_dominant,3,full_body
homme,31,112,182,33.8,obesite,perte_poids,avance,4,cardio_dominant,1,full_body
femme,50,61,162,23.2,normal,tonification,debutant,4,mixte,2,haut_bas
femme,57,63,151,27.6,surpoids,tonification,intermediaire,3,mixte,3,haut_bas
homme,56,55,194,14.6,maigreur,perte_poids,debutant,3,HIIT,2,full_body
homme,57,110,173,36.8,obesite,tonification,debutant,3,mixte,3,haut_bas
homme,21,59,181,18.0,maigreur,perte_poids,intermediaire,3,HIIT,3,full_body
femme,32,59,176,19.0,normal,perte_poids,avance,5,HIIT,3,full_body
femme,59,69,150,30.7,obesite,tonification,intermediaire,3,mixte,3,haut_bas
homme,48,100,164,37.2,obesite,perte_poids,avance,4,cardio_dominant,2,full_body
femme,40,73,174,24.1,normal,perte_poids,intermediaire,4,HIIT,4,full_body
homme,24,83,194,22.1,normal,tonification,debutant,4,mixte,3,haut_bas
femme,62,95,171,32.5,obesite,prise_masse,intermediaire,6,musculation,2,ppl
homme,52,55,162,21.0,normal,prise_masse,debutant,5,musculation,2,ppl
homme,42,82,182,24.8,normal,endurance,debutant,3,cardio_dominant,2,full_body
homme,58,78,167,28.0,surpoids,endurance,debutant,3,cardio_dominant,1,full_body
femme,32,49,171,16.8,maigreur,perte_poids,intermediaire,3,HIIT,3,full_body
femme,57,87,154,36.7,obesite,endurance,intermediaire,3,cardio_dominant,3,full_body
homme,37,112,191,30.7,obesite,prise_masse,intermediaire,6,musculation,2,ppl
homme,16,76,187,21.7,normal,endurance,intermediaire,4,cardio_dominant,3,full_body
homme,59,72,183,21.5,normal,tonification,intermediaire,5,mixte,2,haut_bas
femme,35,94,161,36.3,obesite,tonification,intermediaire,4,mixte,3,haut_bas
homme,32,80,168,28.3,surpoids,perte_poids,intermediaire,5,cardio_dominant,1,full_body
homme,53,58,192,15.7,maigreur,perte_poids,debutant,4,HIIT,3,full_body
homme,57,115,176,37.1,obesite,perte_poids,avance,4,cardio_dominant,2,full_body
homme,48,119,189,33.3,obesite,endurance,debutant,3,cardio_dominant,2,full_body
homme,24,120,170,41.5,obesite,prise_masse,avance,6,musculation,3,ppl
homme,64,83,162,31.6,obesite,tonification,intermediaire,4,mixte,2,haut_bas
femme,29,87,151,38.2,obesite,endurance,debutant,4,cardio_dominant,2,full_body
femme,22,65,170,22.5,normal,perte_poids,debutant,4,HIIT,3,full_body
femme,39,69,170,23.9,normal,prise_masse,intermediaire,6,musculation,2,ppl
homme,38,106,174,35.0,obesite,endurance,intermediaire,4,cardio_dominant,3,full_body
femme,44,53,178,16.7,maigreur,perte_poids,avance,4,HIIT,3,full_body
femme,39,55,155,22.9,normal,prise_masse,debutant,4,musculation,2,push_pull
femme,59,75,153,32.0,obesite,endurance,avance,5,cardio_dominant,4,full_body
homme,24,60,175,19.6,normal,tonification,debutant,3,mixte,2,haut_bas
homme,27,88,170,30.4,obesite,prise_masse,debutant,5,musculation,2,ppl
homme,54,112,173,37.4,obesite,endurance,debutant,4,cardio_dominant,1,full_body
homme,55,78,169,27.3,surpoids,prise_masse,intermediaire,6,musculation,2,ppl
homme,40,84,164,31.2,obesite,endurance,intermediaire,4,cardio_dominant,3,full_body
homme,25,108,192,29.3,surpoids,prise_masse,avance,5,musculation,3,ppl
homme,54,71,190,19.7,normal,perte_poids,debutant,3,HIIT,1,full_body
femme,60,47,177,15.0,maigreur,tonification,intermediaire,5,mixte,3,haut_bas
femme,63,96,168,34.0,obesite,tonification,intermediaire,5,mixte,3,haut_bas
femme,30,94,165,34.5,obesite,prise_masse,intermediaire,4,musculation,2,push_pull
femme,63,90,150,40.0,obesite,endurance,debutant,3,cardio_dominant,2,full_body
homme,42,95,173,31.7,obesite,perte_poids,intermediaire,4,cardio_dominant,2,full_body
femme,43,79,177,25.2,surpoids,endurance,intermediaire,5,cardio_dominant,3,full_body
femme,51,80,163,30.1,obesite,tonification,debutant,4,mixte,2,haut_bas
femme,65,67,168,23.7,normal,endurance,intermediaire,5,cardio_dominant,3,full_body
homme,60,112,174,37.0,obesite,perte_poids,avance,4,cardio_dominant,2,full_body
femme,59,89,169,31.2,obesite,endurance,avance,4,cardio_dominant,4,full_body
homme,21,110,190,30.5,obesite,perte_poids,debutant,3,cardio_dominant,1,full_body
femme,40,91,151,39.9,obesite,perte_poids,avance,5,cardio_dominant,2,full_body
femme,44,76,170,26.3,surpoids,perte_poids,debutant,3,cardio_dominant,1,full_body
femme,48,83,175,27.1,surpoids,prise_masse,debutant,4,musculation,2,push_pull
homme,21,75,160,29.3,surpoids,endurance,debutant,4,cardio_dominant,3,full_body
femme,49,57,168,20.2,normal,tonification,intermediaire,3,mixte,4,haut_bas
homme,38,99,178,31.2,obesite,perte_poids,avance,5,cardio_dominant,2,full_body
homme,27,88,160,34.4,obesite,tonification,intermediaire,4,mixte,2,haut_bas
homme,32,120,167,43.0,obesite,endurance,intermediaire,5,cardio_dominant,4,full_body
femme,65,75,168,26.6,surpoids,tonification,intermediaire,3,mixte,4,haut_bas
femme,46,46,177,14.7,maigreur,tonification,avance,4,mixte,3,push_pull
femme,36,59,172,19.9,normal,prise_masse,avance,6,musculation,2,ppl
homme,41,66,178,20.8,normal,endurance,debutant,4,cardio_dominant,2,full_body
homme,52,82,182,24.8,normal,tonification,intermediaire,4,mixte,2,haut_bas
homme,63,85,172,28.7,surpoids,tonification,avance,4,mixte,1,push_pull
homme,25,100,175,32.7,obesite,prise_masse,debutant,4,musculation,2,push_pull
homme,46,60,160,23.4,normal,tonification,avance,5,mixte,2,push_pull
femme,48,93,155,38.7,obesite,endurance,intermediaire,4,cardio_dominant,3,full_body
homme,50,116,187,33.2,obesite,perte_poids,avance,4,cardio_dominant,2,full_body
femme,49,89,153,38.0,obesite,prise_masse,intermediaire,5,musculation,2,ppl
homme,53,103,173,34.4,obesite,perte_poids,avance,4,cardio_dominant,2,full_body
femme,33,60,158,24.0,normal,prise_masse,avance,6,musculation,2,ppl
femme,29,72,165,26.4,surpoids,endurance,debutant,4,cardio_dominant,3,full_body
femme,27,73,158,29.2,surpoids,endurance,intermediaire,5,cardio_dominant,3,full_body
homme,51,85,177,27.1,surpoids,perte_poids,avance,5,cardio_dominant,1,full_body
homme,16,115,169,40.3,obesite,prise_masse,avance,5,musculation,3,ppl
homme,51,87,179,27.2,surpoids,endurance,intermediaire,5,cardio_dominant,3,full_body
homme,46,87,173,29.1,surpoids,prise_masse,debutant,4,musculation,2,push_pull
femme,51,80,161,30.9,obesite,endurance,intermediaire,4,cardio_dominant,3,full_body
femme,54,88,177,28.1,surpoids,perte_poids,intermediaire,3,cardio_dominant,2,full_body
homme,47,120,180,37.0,obesite,endurance,intermediaire,5,cardio_dominant,3,full_body
homme,56,114,178,36.0,obesite,tonification,avance,4,mixte,1,push_pull
femme,41,81,169,28.4,surpoids,tonification,avance,4,mixte,3,push_pull
femme,34,86,160,33.6,obesite,prise_masse,intermediaire,6,musculation,2,ppl
femme,39,100,174,33.0,obesite,endurance,intermediaire,5,cardio_dominant,3,full_body
femme,17,99,155,41.2,obesite,tonification,debutant,3,mixte,3,haut_bas
femme,22,70,155,29.1,surpoids,perte_poids,debutant,3,cardio_dominant,1,full_body
femme,49,70,174,23.1,normal,perte_poids,debutant,3,HIIT,2,full_body
homme,30,94,184,27.8,surpoids,perte_poids,avance,4,cardio_dominant,3,full_body
femme,26,98,166,35.6,obesite,prise_masse,debutant,4,musculation,2,push_pull
femme,50,100,164,37.2,obesite,endurance,intermediaire,4,cardio_dominant,3,full_body
homme,49,110,189,30.8,obesite,prise_masse,avance,6,musculation,2,ppl
femme,39,64,164,23.8,normal,prise_masse,debutant,5,musculation,2,ppl
femme,64,97,166,35.2,obesite,perte_poids,debutant,3,cardio_dominant,1,full_body
femme,64,76,179,23.7,normal,perte_poids,avance,5,HIIT,3,full_body
femme,16,95,157,38.5,obesite,endurance,avance,5,cardio_dominant,4,full_body
femme,63,90,155,37.5,obesite,tonification,debutant,4,mixte,3,haut_bas
homme,49,85,187,24.3,normal,endurance,debutant,4,cardio_dominant,2,full_body
femme,27,49,177,15.6,maigreur,tonification,debutant,3,mixte,2,haut_bas
femme,47,84,172,28.4,surpoids,tonification,intermediaire,3,mixte,3,haut_bas
homme,22,78,161,30.1,obesite,perte_poids,avance,5,cardio_dominant,2,full_body
femme,16,54,152,23.4,normal,perte_poids,debutant,4,HIIT,2,full_body
femme,60,74,161,28.5,surpoids,endurance,intermediaire,3,cardio_dominant,3,full_body
homme,50,64,185,18.7,normal,perte_poids,intermediaire,4,HIIT,3,full_body
femme,61,94,153,40.2,obesite,tonification,debutant,3,mixte,2,haut_bas
femme,45,57,151,25.0,surpoids,prise_masse,avance,5,musculation,3,ppl
homme,26,96,179,30.0,obesite,tonification,intermediaire,5,mixte,3,haut_bas
homme,39,80,179,25.0,surpoids,endurance,intermediaire,3,cardio_dominant,2,full_body
homme,16,96,187,27.5,surpoids,perte_poids,debutant,3,cardio_dominant,2,full_body
homme,53,60,160,23.4,normal,tonification,debutant,4,mixte,2,haut_bas
homme,47,75,175,24.5,normal,endurance,debutant,3,cardio_dominant,2,full_body
femme,25,86,161,33.2,obesite,perte_poids,debutant,3,cardio_dominant,1,full_body
homme,62,111,182,33.5,obesite,endurance,avance,4,cardio_dominant,4,full_body
femme,18,61,154,25.7,surpoids,endurance,avance,5,cardio_dominant,5,full_body
femme,50,56,168,19.8,normal,tonification,debutant,4,mixte,2,haut_bas
femme,51,100,179,31.2,obesite,endurance,avance,4,cardio_dominant,4,full_body
homme,45,101,176,32.6,obesite,tonification,intermediaire,3,mixte,3,haut_bas
femme,39,99,169,34.7,obesite,prise_masse,debutant,4,musculation,2,push_pull
homme,65,118,193,31.7,obesite,tonification,debutant,3,mixte,2,haut_bas
femme,22,52,160,20.3,normal,tonification,avance,4,mixte,3,push_pull
homme,47,68,172,23.0,normal,prise_masse,debutant,4,musculation,2,push_pull
femme,53,89,169,31.2,obesite,tonification,avance,5,mixte,3,push_pull
homme,21,117,173,39.1,obesite,perte_poids,debutant,4,cardio_dominant,2,full_body
homme,61,102,186,29.5,surpoids,endurance,avance,4,cardio_dominant,5,full_body
femme,35,98,152,42.4,obesite,perte_poids,avance,4,cardio_dominant,1,full_body
homme,28,104,174,34.4,obesite,perte_poids,avance,4,cardio_dominant,2,full_body
homme,63,108,195,28.4,surpoids,prise_masse,avance,5,musculation,4,ppl
femme,22,72,171,24.6,normal,tonification,avance,4,mixte,4,push_pull
femme,54,79,155,32.9,obesite,endurance,avance,5,cardio_dominant,3,full_body
femme,56,93,163,35.0,obesite,endurance,intermediaire,4,cardio_dominant,4,full_body
femme,40,58,167,20.8,normal,prise_masse,avance,6,musculation,3,ppl
